trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
276,2,1993-02-26,PRIJEM,VKLAD,1100,1100,,,
279,2,1993-03-12,PRIJEM,PREVOD Z UCTU,20236,21336,,ST,66487163.0
280,2,1993-04-12,PRIJEM,PREVOD Z UCTU,20236,45286,,ST,66487163.0
281,2,1993-05-12,PRIJEM,PREVOD Z UCTU,20236,54631,,ST,66487163.0
282,2,1993-06-12,PRIJEM,PREVOD Z UCTU,30354,67530,,ST,66487163.0
283,2,1993-07-12,PRIJEM,PREVOD Z UCTU,20236,62326,,ST,66487163.0
284,2,1993-08-12,PRIJEM,PREVOD Z UCTU,20236,49139,,ST,66487163.0
285,2,1993-09-12,PRIJEM,PREVOD Z UCTU,20236,39962,,ST,66487163.0
286,2,1993-10-12,PRIJEM,PREVOD Z UCTU,20236,30744,,ST,66487163.0
287,2,1993-11-12,PRIJEM,PREVOD Z UCTU,20236,40800,,ST,66487163.0
288,2,1993-12-12,PRIJEM,PREVOD Z UCTU,30354,47213,,ST,66487163.0
355,2,1993-07-11,VYDAJ,VYBER,3200,42090,,,0.0
356,2,1993-08-07,VYDAJ,VYBER,2900,28903,,,0.0
357,2,1993-09-14,VYDAJ,VYBER,3600,36362,,,0.0
358,2,1993-10-03,VYDAJ,VYBER,4000,17774,,,0.0
359,2,1993-11-21,VYDAJ,VYBER,3800,37000,,,0.0
360,2,1993-12-08,VYDAJ,VYBER,3500,21059,,,0.0
428,2,1993-08-05,VYDAJ,PREVOD NA UCET,7266,31803,SIPO,QR,13943797.0
429,2,1993-09-05,VYDAJ,PREVOD NA UCET,7266,19726,SIPO,QR,13943797.0
430,2,1993-10-05,VYDAJ,PREVOD NA UCET,7266,10508,SIPO,QR,13943797.0
431,2,1993-11-05,VYDAJ,PREVOD NA UCET,7266,20564,SIPO,QR,13943797.0
432,2,1993-12-05,VYDAJ,PREVOD NA UCET,7266,24559,SIPO,QR,13943797.0
493,2,1993-08-22,VYBER,VYBER,21286,27853,,,
495,2,1993-12-21,VYBER,VYBER,13396,30817,,,
497,2,1993-07-19,VYBER,VYBER,13145,49181,,,
546,2,1993-12-10,VYDAJ,VYBER,4200,16859,,,
590,2,1993-12-19,VYDAJ,VYBER,3000,44213,,,
592,2,1993-09-26,VYDAJ,VYBER,10200,21662,,,
632,2,1993-07-31,VYDAJ,VYBER,15,39069,SLUZBY,,
633,2,1993-08-31,VYDAJ,VYBER,15,26992,SLUZBY,,
634,2,1993-09-30,VYDAJ,VYBER,15,21774,SLUZBY,,
635,2,1993-10-31,VYDAJ,VYBER,15,27830,SLUZBY,,
636,2,1993-11-30,VYDAJ,VYBER,15,31825,SLUZBY,,
637,2,1993-12-31,VYDAJ,VYBER,15,27841,SLUZBY,,
697,2,1993-03-28,PRIJEM,VKLAD,3700,25036,,,
698,2,1993-04-27,VYDAJ,VYBER,11000,34286,,,
699,2,1993-05-27,VYDAJ,VYBER,17600,37031,,,
700,2,1993-06-26,VYDAJ,VYBER,22400,45130,,,
701,2,1993-07-26,VYDAJ,VYBER,10300,38881,,,
702,2,1993-08-25,VYDAJ,VYBER,1000,26853,,,
703,2,1993-09-24,VYDAJ,VYBER,4500,31862,,,
704,2,1993-10-24,VYDAJ,VYBER,3000,27744,,,
705,2,1993-11-23,VYDAJ,VYBER,5300,31700,,,
706,2,1993-12-23,VYDAJ,VYBER,3100,27717,,,
